,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loblolly pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Shortleaf pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Virginia pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sand pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Table Mountain pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Pond pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Pitch pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Spruce pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Eastern redcedar,"29,641",,,,"11,518",,,,,"13,171",,,,,,"4,952",,,,,,-,,,,,,,,,,
,Rocky Mountain juniper,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Juniper woodland,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Pinyon / juniper woodland,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Douglas-fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Port-Orford-cedar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Ponderosa pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Incense-cedar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sugar pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Jeffrey pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Western white pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,White fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Red fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Noble fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Pacific silver fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Engelmann spruce,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Grand fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Subalpine fir,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Blue spruce,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Mountain hemlock,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Alaska-yellow-cedar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Lodgepole pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Western hemlock,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Western redcedar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sitka spruce,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Western larch,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Redwood,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Giant sequoia,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Knobcone pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Bishop pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Monterey pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Whitebark pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Miscellaneous western softwoods,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Western juniper,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,California mixed conifer,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Scotch pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Other exotic softwoods,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Norway spruce,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Introduced larch,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Eastern redcedar / hardwood,"60,634",,,,"17,659",,,,,"31,041",,,,,,"11,934",,,,,,-,,,,,,,,,,
,Longleaf pine / oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Shortleaf pine / oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Virginia pine / southern red oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Loblolly pine / hardwood,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Slash pine / hardwood,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Other pine / hardwood,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Post oak / blackjack oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Chestnut oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,White oak / red oak / hickory,"628,807",,,,"544,769",,,,,"73,367",,,,,,"10,671",,,,,,-,,,,,,,,,,
,White oak,"123,916",,,,"120,494",,,,,"3,422",,,,,,-,,,,,,-,,,,,,,,,,
,Northern red oak,"53,933",,,,"52,431",,,,,"1,502",,,,,,-,,,,,,-,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sassafras / persimmon,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sweetgum / yellow-poplar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Bur oak,"167,513",,,,"165,454",,,,,"2,059",,,,,,-,,,,,,-,,,,,,,,,,
,Scarlet oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Yellow-poplar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Black walnut,"79,857",,,,"61,740",,,,,"12,109",,,,,,"6,008",,,,,,-,,,,,,,,,,
,Black locust,"34,866",,,,"27,054",,,,,"4,496",,,,,,"3,315",,,,,,-,,,,,,,,,,
,Southern scrub oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,"1,655",,,,"1,655",,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Cherry / white ash / yellow-poplar,"24,538",,,,"12,628",,,,,"3,655",,,,,,"8,255",,,,,,-,,,,,,,,,,
,Elm / ash / black locust,"159,211",,,,"62,077",,,,,"75,939",,,,,,"21,195",,,,,,-,,,,,,,,,,
,Red maple / oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Mixed upland hardwoods,"522,975",,,,"315,367",,,,,"130,013",,,,,,"77,594",,,,,,-,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Overcup oak / water hickory,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Atlantic white-cedar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Baldcypress / water tupelo,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Baldcypress / pondcypress,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Black ash / American elm / red maple,"10,011",,,,"10,011",,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,River birch / sycamore,"28,355",,,,"11,142",,,,,"11,374",,,,,,"5,840",,,,,,-,,,,,,,,,,
,Cottonwood,"72,892",,,,"72,892",,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Willow,"19,215",,,,"7,114",,,,,"1,365",,,,,,"10,737",,,,,,-,,,,,,,,,,
,Sycamore / pecan / American elm,"2,443",,,,-,,,,,-,,,,,,"2,443",,,,,,-,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,"218,426",,,,"173,369",,,,,"41,644",,,,,,"3,413",,,,,,-,,,,,,,,,,
,Silver maple / American elm,"170,113",,,,"136,301",,,,,"7,744",,,,,,"26,068",,,,,,-,,,,,,,,,,
,Red maple / lowland,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Cottonwood / willow,"17,459",,,,"13,243",,,,,-,,,,,,"4,216",,,,,,-,,,,,,,,,,
,Oregon ash,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Sugar maple / beech / yellow birch,"16,920",,,,"16,920",,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Black cherry,"2,078",,,,-,,,,,"1,367",,,,,,711,,,,,,-,,,,,,,,,,
,Hard maple / basswood,"59,904",,,,"59,904",,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Red maple / upland,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Aspen,"7,470",,,,"1,463",,,,,"6,007",,,,,,-,,,,,,-,,,,,,,,,,
,Paper birch,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Gray birch,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Balsam poplar,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Pin cherry,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Red alder,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Bigleaf maple,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Gray pine,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,California black oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Oregon white oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Blue oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Coast live oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Canyon live oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Interior live oak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,California white oak (valley oak),-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Tanoak,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,California laurel,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Giant chinkapin,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Pacific madrone,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Other hardwoods,"3,338",,,,-,,,,,-,,,,,,"3,338",,,,,,-,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Palms,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Moist forest,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Wet and rain forest,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Lower montane wet and rain forest,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Other tropical hardwoods,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Paulownia,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Melaleuca,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Eucalyptus,-,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,
,Other exotic hardwoods,"14,357",,,,"6,366",,,,,"7,811",,,,,,180,,,,,,-,,,,,,,,,,
,Nonstocked,"35,464",,,,-,,,,,-,,,,,,-,,,,,,"35,464",,,,,,,,,,
"19 Iowa
Sampling error percent (Confidence level 68%):
Note: for 95% confidence level multiply SE pct by 1.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,Large diameter,,,,,Medium diameter,,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,
,Total,20.32,,25.53,,,,,36.37,,,,,,47.39,,,,,,100.77,,,,,,,,,,,,
,Jack pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Balsam fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red spruce / balsam fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Tamarack,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Northern white-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Longleaf pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Slash pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Loblolly pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Shortleaf pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Virginia pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sand pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Table Mountain pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pond pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pitch pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Spruce pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Rocky Mountain juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pinyon / juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Douglas-fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Port-Orford-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Ponderosa pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Incense-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Jeffrey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western white pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Noble fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific silver fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Grand fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mountain hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Alaska-yellow-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lodgepole pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western redcedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sitka spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Redwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Giant sequoia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Knobcone pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bishop pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Monterey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Whitebark pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous western softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California mixed conifer,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scotch pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Norway spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Introduced larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar / hardwood,88.54,,86.19,,,,,63.32,,,,,,-,,,,,,-,,,,,,,,,,,,
,Longleaf pine / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Shortleaf pine / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Virginia pine / southern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Loblolly pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Slash pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Post oak / blackjack oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Chestnut oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White oak / red oak / hickory,39.47,,40.31,,,,,92.92,,,,,,-,,,,,,-,,,,,,,,,,,,
,White oak,72.89,,72.88,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Northern red oak,99.12,,99.02,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sassafras / persimmon,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetgum / yellow-poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bur oak,60.98,,68.17,,,,,44.77,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scarlet oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black walnut,68.98,,71.20,,,,,100.11,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black locust,98.02,,-,,,,,47.51,,,,,,-,,,,,,-,,,,,,,,,,,,
,Southern scrub oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Elm / ash / black locust,56.97,,63.93,,,,,95.77,,,,,,83.81,,,,,,-,,,,,,,,,,,,
,Red maple / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mixed upland hardwoods,42.90,,60.96,,,,,56.56,,,,,,88.18,,,,,,-,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Overcup oak / water hickory,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Atlantic white-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / water tupelo,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black ash / American elm / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,River birch / sycamore,82.60,,-,,,,,52.18,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood,102.78,,102.78,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Willow,87.18,,-,,,,,-,,,,,,76.91,,,,,,-,,,,,,,,,,,,
,Sycamore / pecan / American elm,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,45.20,,54.91,,,,,70.35,,,,,,-,,,,,,-,,,,,,,,,,,,
,Silver maple / American elm,54.09,,94.96,,,,,0.00,,,,,,45.95,,,,,,-,,,,,,,,,,,,
,Red maple / lowland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood / willow,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black cherry,85.50,,-,,,,,-,,,,,,0.00,,,,,,-,,,,,,,,,,,,
,Hard maple / basswood,48.79,,48.79,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red maple / upland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Aspen,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paper birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Balsam poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pin cherry,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red alder,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bigleaf maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California black oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon white oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Coast live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Canyon live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Interior live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California white oak (valley oak),-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Tanoak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California laurel,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Giant chinkapin,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific madrone,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Palms,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Moist forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lower montane wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other tropical hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paulownia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Melaleuca,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eucalyptus,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic hardwoods,63.11,,-,,,,,26.84,,,,,,-,,,,,,-,,,,,,,,,,,,
,Nonstocked,100.77,,-,,,,,-,,,,,,-,,,,,,100.77,,,,,,,,,,,,
"19 Iowa
Number of non-zero plots numerator:
Note: total number of plots in selected evaluations=225229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,Total,65,44,,,,,,15,,,,,6,,,,,,1,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
